date,k18,k21,k22,traditional,Log_Returns
2013-02-06,4466.212385316323,5166.006400583993,5404.027969695522,3433.884202498083,-0.009788986495592046
2013-02-07,4436.299573691803,5133.773791531676,5370.6051174218355,3400.2704725586286,-0.009837061816062819
2013-02-08,4406.465549576794,5101.590201927628,5337.233115944578,3366.872418678206,-0.009870731440095542
2013-02-09,4376.75127386332,5069.498190719099,5303.955957355016,3333.7401379094026,-0.009889409518250377
2013-02-10,4347.197707443413,5037.540316853342,5270.8176337444265,3300.923727304809,-0.009892491584342465
2013-02-11,4317.845811209093,5005.7591392776085,5237.86213720408,3268.4732839170106,-0.00987935643614243
2013-02-12,4288.736546052389,4974.197216939148,5205.133459825247,3236.438904798596,-0.009849368341967566
2013-02-13,4259.910872865328,4942.897108785215,5172.675593699201,3204.8706870021556,-0.009801879600419674
2013-02-14,4231.409752539935,4911.901373763059,5140.532530917211,3173.8187275802748,-0.009736233479587473
2013-02-15,4203.274145968237,4881.252570819934,5108.748263570555,3143.333123585544,-0.009651767560423165
2013-02-16,4175.545014042259,4850.993258903089,5077.366783750496,3113.46397207055,-0.00954781750663239
2013-02-17,4148.2633176540285,4821.165996959775,5046.432083548311,3084.2613700878806,-0.009423721280074475
2013-02-18,4121.470017695571,4791.813343937246,5015.988155055272,3055.775414690125,-0.009278823816389635
2013-02-19,4095.2060750589144,4762.977858782753,4986.07899036265,3028.0562029298717,-0.009112482170113985
2013-02-20,4069.5124506360817,4734.7021004435455,4956.748581561715,3001.1538318597063,-0.008924071131914672
2013-02-21,4044.430105319102,4707.028627866878,4928.0409207437415,2975.1183985322205,-0.008712989312669383
2013-02-22,4020.0,4680.0,4900.0,2950.0,-0.00847866567990864
2013-02-23,3996.286292097356,4653.68720362319,4872.699174599046,2925.864598713683,-0.008215144041996783
2013-02-24,3973.445925135965,4628.274936848836,4846.329252518573,2902.8416187161065,-0.007899900552294845
2013-02-25,3951.659039167173,4603.976325622344,4821.110404913557,2881.076349448153,-0.0075261689828824
2013-02-26,3931.10577424233,4581.004495889131,4797.262802938975,2860.714080350711,-0.007092684662964211
2013-02-27,3911.966270412781,4559.572573594607,4775.006617749804,2841.900100864663,-0.006598394052147777
2013-02-28,3894.4206677298766,4539.893684684184,4754.562020501023,2824.779700430896,-0.006042498650159544
