IndicatorType,CountryName,MarketName,CurrencyCode,Date,Value,SourceOfTheData
Official,Bangladesh,,BDT,06/11/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,09/11/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,10/11/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,11/11/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,12/11/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,13/11/2009,68.7,Trading Economics
Official,Bangladesh,,BDT,16/11/2009,68.7,Trading Economics
Official,Bangladesh,,BDT,17/11/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,18/11/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,19/11/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,20/11/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,23/11/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,24/11/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,25/11/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,26/11/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,27/11/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,30/11/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,01/12/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,02/12/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,03/12/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,04/12/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,07/12/2009,68.8,Trading Economics
Official,Bangladesh,,BDT,08/12/2009,68.8,Trading Economics
Official,Bangladesh,,BDT,09/12/2009,68.9,Trading Economics
Official,Bangladesh,,BDT,10/12/2009,68.9,Trading Economics
Official,Bangladesh,,BDT,11/12/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,14/12/2009,68.9,Trading Economics
Official,Bangladesh,,BDT,15/12/2009,68.9,Trading Economics
Official,Bangladesh,,BDT,16/12/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,17/12/2009,68.9,Trading Economics
Official,Bangladesh,,BDT,18/12/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,21/12/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,22/12/2009,68.9,Trading Economics
Official,Bangladesh,,BDT,23/12/2009,68.9,Trading Economics
Official,Bangladesh,,BDT,24/12/2009,68.65,Trading Economics
Official,Bangladesh,,BDT,28/12/2009,68.9,Trading Economics
Official,Bangladesh,,BDT,29/12/2009,68.95,Trading Economics
Official,Bangladesh,,BDT,30/12/2009,68.95,Trading Economics
Official,Bangladesh,,BDT,31/12/2009,68.75,Trading Economics
Official,Bangladesh,,BDT,04/01/2010,68.7,Trading Economics
Official,Bangladesh,,BDT,05/01/2010,68.75,Trading Economics
Official,Bangladesh,,BDT,06/01/2010,68.98,Trading Economics
Official,Bangladesh,,BDT,07/01/2010,68.98,Trading Economics
Official,Bangladesh,,BDT,08/01/2010,68.98,Trading Economics
Official,Bangladesh,,BDT,11/01/2010,68.98,Trading Economics
Official,Bangladesh,,BDT,12/01/2010,68.98,Trading Economics
Official,Bangladesh,,BDT,13/01/2010,68.98,Trading Economics
Official,Bangladesh,,BDT,14/01/2010,68.98,Trading Economics
Official,Bangladesh,,BDT,15/01/2010,68.7,Trading Economics
Official,Bangladesh,,BDT,18/01/2010,68.7,Trading Economics
